frame,emotion
1454,fear
1455,fear
1456,fear
1457,fear
1458,fear
1459,fear
1460,fear
1461,fear
1462,fear
1463,fear
1464,fear
1465,fear
1466,fear
1467,fear
1468,fear
1469,fear
1470,fear
1471,fear
1472,fear
1473,fear
1474,fear
1475,fear
1476,fear
1477,fear
1478,fear
1479,fear
1480,fear
1481,fear
1482,fear
1483,fear
1484,fear
1485,fear
1486,fear
1487,fear
1488,fear
1489,fear
1490,fear
1491,fear
1492,fear
1493,fear
1494,fear
1495,fear
1496,fear
1497,fear
1498,fear
1499,neutral
1500,neutral
1501,neutral
1502,neutral
1503,neutral
1504,neutral
1505,fear
1506,fear
1507,fear
1508,fear
1509,fear
1510,fear
1511,fear
1512,fear
1513,fear
1514,fear
1515,fear
1516,fear
1517,fear
1518,fear
1519,fear
1520,fear
1521,fear
1522,fear
1523,fear
1524,fear
1525,fear
1526,fear
1527,fear
1528,fear
1529,fear
1530,fear
1531,fear
1532,fear
1533,fear
1534,fear
1535,fear
1536,fear
1537,fear
1538,fear
1539,fear
1540,fear
1541,fear
1542,fear
1543,fear
1544,fear
1545,fear
1546,fear
1547,fear
1548,fear
1549,fear
1550,fear
1551,fear
1552,fear
1553,fear
1554,fear
1555,fear
1556,fear
1557,fear
1558,fear
1559,fear
1560,fear
1561,fear
1562,fear
1563,fear
1564,fear
1565,happy
1566,happy
1567,happy
1568,happy
1569,happy
1570,happy
1571,happy
1572,happy
1573,happy
1574,happy
1575,happy
1576,happy
1577,happy
1578,happy
1579,happy
1580,happy
1581,happy
1582,happy
1583,happy
1584,happy
1585,happy
1586,happy
1587,happy
1588,happy
1589,happy
1590,happy
1591,happy
1592,happy
1593,happy
1594,happy
1595,happy
1596,happy
1597,happy
1598,happy
1599,happy
1600,happy
1601,happy
1602,happy
1603,happy
1604,happy
1605,happy
1606,happy
1607,happy
1608,happy
1609,happy
1610,happy
1611,happy
1612,happy
1613,happy
1614,happy
1615,happy
1616,happy
1617,happy
1618,happy
1619,happy
1620,happy
1621,happy
1622,happy
1623,happy
1624,happy
1625,happy
1626,happy
1627,happy
1628,happy
1629,happy
1630,happy
1631,happy
1632,happy
1633,happy
1634,happy
1635,happy
1636,happy
1637,happy
1638,happy
1639,fear
1640,fear
1641,fear
1642,fear
1643,fear
1644,fear
1645,fear
1646,fear
1647,fear
1648,fear
1649,fear
1650,fear
1651,fear
1652,fear
1653,fear
1654,fear
1655,fear
1656,fear
1657,fear
1658,fear
1659,happy
1660,happy
1661,happy
1662,happy
1663,happy
1664,happy
1665,happy
1666,happy
1667,happy
1668,happy
1669,happy
1670,happy
1671,happy
1672,happy
1673,happy
1674,happy
1675,happy
1676,happy
1677,happy
1678,happy
1679,happy
1680,happy
1681,happy
1682,happy
1683,happy
1684,neutral
1685,neutral
1686,neutral
1687,neutral
1688,neutral
1689,happy
1690,happy
1691,happy
1692,happy
1693,happy
1694,neutral
1695,neutral
1696,neutral
1697,neutral
1698,neutral
